电影名,状态,评分,星级,时长,上映时间,类型,制片国家,导演,演员,简介,评价人数
功夫王之萌虎上山,nowplaying,,,82分钟,2023-09-29(中国大陆),喜剧/动画/奇幻/冒险,中国大陆,,,一夜之间，虎门武馆馆主惨遭毒手，少馆主乐乐也被神秘人物追杀，为报父仇和查清事情背后的真相，乐乐带着小伙伴毅然踏上前往功夫山的征程，前方的路会是一马平川的坦途吗？,
海王2：失落的王国,upcoming,,,125分钟,2023-12-15(中国大陆)/2023-08-31(威尼斯国际电影节)/2023-09-27(法国)/2023-10-15(平遥国际电影展),剧情,美国,温子仁,杰森·莫玛 / 帕特里克·威尔森 / 安珀·赫德,被暴戾的父亲伤害、被囚禁在狗笼生活数年的道格（卡莱伯·兰德里·琼斯 饰），长大后只能与他的数百只狗相互陪伴。然而命运对他的摧残从未停止，在经历了家庭、爱情、生存的一系列痛苦打击后，道格化身为最危险艳丽的“狗神”杀手，和他的狗群一起，向所有伤害过他的人发起了绝不饶恕的复仇与反抗......,21298
爱乐之城,upcoming,,,128分钟,2023-12-15(中国大陆)/2023-11-03(金鸡国产新片展),剧情/犯罪,美国,达米恩·查泽雷,瑞恩·高斯林 / 艾玛·斯通 / 约翰·传奇,刑侦大队队长程兵（张译 饰）带领的三大队在办理一起恶性案件的过程中导致嫌犯之一意外死亡，被判入狱。出狱后依然坚持以普通人身份追踪在逃嫌犯。,59964
敦煌英雄,upcoming,,,,2023-12-16(中国大陆),剧情/动作/悬疑/犯罪,中国大陆,曹盾,章宇 / 窦骁 / 吕凉,横跨黑白两道只手遮天的洪泰集团正值换选之际，一个神秘杀手陈安（张家辉 饰）却突然只身闯入这个是非混乱的旋涡，搅得洪泰集团大乱。身处警察阵营的麦朗汶（阮经天 饰）和黑帮阵营的马文康（王大陆 饰）也盯上了他……各方势力伺机而动，谁才是幕后的操控者？一场生猛混战一触即发。,
人民万岁,upcoming,,,,2023-12-16(中国大陆)/2023-04-14(日本),动作/动画/悬疑/惊悚/犯罪/冒险,中国大陆,郝蕴,,故事发生在东京八丈岛近海，一座将全球各地警方监控相连接的高科技设施——“太平洋浮标”即将启动。为了与欧洲刑警组织管辖的范围联网，来自世界各地的工程师聚集在这里。基于人脸识别的全新“黑科技”也正在测试中……,36612
潜行,upcoming,,,114分钟,2023-12-08(中国大陆)/2023-12-06(中国台湾)/2023-12-15(美国),喜剧/歌舞/奇幻/冒险,中国大陆 中国香港,关智耀,刘德华 / 林家栋 / 彭于晏,影片聚焦经典之作《查理和巧克力工厂》的主人公威利·旺卡（提莫西·查拉梅 饰），这位年轻且天赋异禀的发明家、魔术师、巧克力制作师，是如何经历奇幻冒险，成长为观众挚爱的巧克力工厂掌门人的故事。,51019
年会不能停！,upcoming,,,117分钟,2023-11-25(中国大陆),剧情/悬疑/犯罪,中国大陆,董润年,大鹏 / 白客 / 庄达菲,老金（黄渤 饰）为供女儿金丽娜（周依然 饰）留学终日捕鱼，却换来女儿身中17刀离奇身亡的死讯，最大嫌疑人则指向她的男友李苗苗（张宥浩 饰）。愤怒的老金踏上跨海寻仇之路，李苗苗却在母亲景岚（周迅 饰）的庇护下不断潜逃……这场人性迷局中，究竟谁能抵达爱与宽恕的彼岸？,268635
金色面具英雄,upcoming,,,,2023-12-08(中国大陆),剧情/悬疑/犯罪,中国大陆 加拿大,肖恩·帕特里克·奥赖利,朗·普尔曼 / 帕顿·奥斯瓦尔特 / 克里斯托弗·普卢默,贪婪无厌的警长郑威（许光汉 饰）得知富商之妻乔文娜（张钧甯 饰）蒙冤卷入一场密室谋杀案后主动登门交易，索要巨额钱财帮她洗脱罪名。随着交易展开，竟意外牵连出另一起凶杀案，丈夫失踪的虹姐（惠英红 饰）自曝被强权欺压，走投无路的她向杀害丈夫的议员之子明浩（尹正 饰）绝望复仇……,36453
金手指,upcoming,,,125分钟,2023-12-08(中国大陆),剧情/悬疑/奇幻,中国香港 中国大陆,庄文强,梁朝伟 / 刘德华 / 蔡卓妍,深巷的尽头，一间“照明商店”长年亮着灯，神秘的老板（刘奕君 饰）细心擦拭着每一个灯泡，形形色色的客人络绎不绝。护士许念（章若楠 饰）和男友郑满（白宇帆 饰）新搬进了商店附近的公寓。她渐渐发现，这里的每一个人，心底都有一个不可言说的秘密。暴风雨之夜，她走进了巷尾的照明商店，答案渐渐被揭开……,29677
一闪一闪亮星星,upcoming,,,107分钟,2023-12-08(中国大陆),动作/犯罪,中国大陆,陈小明 章攀,屈楚萧 / 张佳宁 / 傅菁,缉毒总督察李振邦（张家辉 饰）和卧底警员江铭（陈伟霆 饰）秘密执行追捕毒贩计划，无奈遭遇险境，江铭被迫游走黑白边缘，逐渐失控。为坚守底线，昔日队友互生杀意。猜忌、愤怒、疯狂、失望……全员丧失理智，濒临崩溃边缘！,22958
非诚勿扰3,upcoming,,,,2023-12-15(中国大陆)/2023-11-03(金鸡国际影展),剧情,中国大陆,冯小刚,葛优 / 舒淇 / 范伟,影片根据虹影同名长篇小说改编，以重庆“山城”为地理背景，讲述了在1976年，12 岁少年窦小明因受伤进了医院，认识了对他照顾和关爱有加的护士佳惠。佳惠生得美貌，却嫁给当地混社会的青年钢哥，常常遭受家暴。窦小明得知此事后站出来打抱不平，从此改变了他们三人的命运。,
